id,segment
0,162
1,232
2,212
3,165
4,239
5,209
6,144
7,194
8,113
9,163
10,144
11,17
12,179
13,155
14,160
15,182
16,177
17,235
18,179
19,165
20,156
21,260
22,113
23,111
24,189
25,325
26,95
27,182
28,128
29,185
30,101
31,176
32,209
33,210
34,199
