epoch,loss,lr,val_loss
0,0.02557006788907278,0.001,0.027898486703634262
1,0.022593663872128685,0.001,0.020763477310538292
2,0.02155423728492023,0.001,0.03149222210049629
3,0.021123112470965193,0.001,0.02242049016058445
4,0.02067543430134704,0.001,0.019903408363461494
5,0.020362724910681498,0.001,0.022365393117070198
6,0.02020827667185604,0.001,0.01780959777534008
7,0.019958283855683275,0.001,0.04110303148627281
8,0.019755116041423597,0.001,0.01838325336575508
9,0.019617949450946717,0.001,0.019741425290703773
10,0.019572515006142634,0.001,0.019400836899876595
11,0.019295530426645217,0.001,0.02047467790544033
12,0.019144154700955457,0.001,0.02928510494530201
13,0.019013179530411557,0.001,0.02283073216676712
14,0.019143574985578306,0.001,0.016212914139032364
15,0.018793582761039335,0.001,0.02126677893102169
16,0.018713770774491007,0.001,0.024111703038215637
17,0.01861042317523549,0.001,0.014086070470511913
18,0.018417806571556464,0.001,0.026636024937033653
19,0.01837024140808267,0.001,0.021009676158428192
20,0.01826145398973014,0.001,0.019594691693782806
21,0.01814469012905301,0.001,0.013334616087377071
22,0.01783125779845498,0.001,0.017138805240392685
23,0.018083824725940775,0.001,0.016339659690856934
24,0.017718314911279613,0.001,0.02236899919807911
25,0.017644669434137217,0.001,0.01820840686559677
26,0.017487605671501823,0.001,0.015825912356376648
27,0.017457495377671838,0.001,0.01602773740887642
28,0.01729384636481352,0.001,0.016486715525388718
29,0.01708453718528954,0.001,0.019266100600361824
30,0.01693966414196172,0.001,0.01654074527323246
31,0.016870307333152805,0.001,0.01622662879526615
