epoch,loss,lr,val_loss
0,0.02575683788300303,0.001,0.02148369699716568
1,0.022919132387484307,0.001,0.021693695336580276
2,0.02214556646423938,0.001,0.026449624449014664
3,0.021775564061166236,0.001,0.016841255128383636
4,0.021584148288396224,0.001,0.020521529018878937
5,0.021587774972845652,0.001,0.022118190303444862
6,0.021238443338945243,0.001,0.02177491970360279
7,0.020578447154315446,0.001,0.022720228880643845
8,0.020536652310449776,0.001,0.02531054988503456
9,0.02021420037612531,0.001,0.018005935475230217
10,0.02005319770929334,0.001,0.020314538851380348
11,0.01974483761850254,0.001,0.018758602440357208
12,0.019916837592526368,0.001,0.035196926444768906
13,0.019758046072745346,0.001,0.015327803790569305
14,0.019399052406280065,0.001,0.02473982609808445
15,0.0193498832756965,0.001,0.02154286950826645
16,0.019130275120753198,0.001,0.017990993335843086
17,0.01912040051463925,0.001,0.026535706594586372
18,0.01900438411870567,0.001,0.017095772549510002
19,0.018854037474085216,0.001,0.01835729368031025
20,0.018858000505185317,0.001,0.025950364768505096
21,0.018718711895954355,0.001,0.01619061455130577
22,0.018523776973349133,0.001,0.016421806067228317
23,0.01844116428608466,0.001,0.02169894427061081
24,0.01834239237494369,0.001,0.01989734172821045
25,0.018234518205819922,0.001,0.022867022082209587
