epoch,loss,lr,val_loss
0,0.02534287337950625,0.001,0.0251313503831625
1,0.02313365028905017,0.001,0.02744024619460106
2,0.02253246013063417,0.001,0.02264237403869629
3,0.022215024230408144,0.001,0.024874120950698853
4,0.02144623961112516,0.001,0.019353821873664856
5,0.021046162859260382,0.001,0.021506555378437042
6,0.020828227473063222,0.001,0.021163061261177063
7,0.02044593534480599,0.001,0.024754079058766365
8,0.02007143258364225,0.001,0.03446744382381439
9,0.02025801085777803,0.001,0.020383847877383232
10,0.019801190890535548,0.001,0.022299082949757576
11,0.01982516663374154,0.001,0.016966447234153748
12,0.01949880178579169,0.001,0.019692188128829002
13,0.019386174638274606,0.001,0.018478410318493843
14,0.01920324500234947,0.001,0.019716426730155945
15,0.01924578195183393,0.001,0.014684351161122322
16,0.019447565964734535,0.001,0.018050994724035263
17,0.019089926883660176,0.001,0.02168533392250538
18,0.018995968929054786,0.001,0.01907593384385109
19,0.018873763738530492,0.001,0.014740177430212498
20,0.01867947157829111,0.001,0.01581249013543129
21,0.018600812626292044,0.001,0.01874738745391369
22,0.018566024989720136,0.001,0.023174269124865532
23,0.018516414950848843,0.001,0.015509000048041344
24,0.01828355687777139,0.001,0.01618533954024315
25,0.018339606380642772,0.001,0.015370506793260574
26,0.018180765028826578,0.001,0.019125912338495255
