epoch,loss,lr,val_loss
0,0.023132200597009066,0.001,0.016935158520936966
1,0.020550178635859603,0.001,0.02102956734597683
2,0.019962307280645922,0.001,0.017291512340307236
3,0.019556618112854345,0.001,0.0168598722666502
4,0.01928383474833269,0.001,0.017180779948830605
5,0.019044281385569968,0.001,0.018050653859972954
6,0.018828885173615143,0.001,0.01704847626388073
7,0.01863793763397861,0.001,0.02019496262073517
8,0.01844410408797032,0.001,0.016357067972421646
9,0.01830354254119671,0.001,0.022193359211087227
10,0.018162504889749378,0.001,0.01817878894507885
11,0.018023533508286838,0.001,0.01378313172608614
12,0.017839978827716232,0.001,0.018186364322900772
13,0.017711224924813914,0.001,0.014897242188453674
14,0.0176180271604325,0.001,0.019322024658322334
15,0.017452960114581056,0.001,0.0162521880120039
16,0.017319021161698284,0.001,0.020373128354549408
17,0.01716239542921119,0.001,0.021016698330640793
18,0.017011189975101777,0.001,0.021726757287979126
19,0.016961410420901452,0.001,0.015049486421048641
20,0.016756198809042083,0.001,0.016885608434677124
